 ________________________________________________________________________________________________________ 
|    Username / Q#->   |  33 |  34 |  35 |  36 |  37 |  38 |  39 |  40 |  41 |  42 | Last 10  |  Total   |
|--------------------------------------------------------------------------------------------------------|
|    Correct Answer    |  C  |  B  |  A  |  A  |  D  |  D  |  C  |  B  |  C  |  A  |          |          |
|--------------------------------------------------------------------------------------------------------|
|    NegatronThomas    |  D  |  B  |  A  |  A  |  B  |  D  |  C  |  A  |  C  |  A  |   7/10   |  25/38   |
|  ThomasSecondChance  |  C  |  C  |  D  |  C  |  C  |  C  |  A  |  D  |  A  |  C  |   1/10   |   1/15   |
|     Apprentice57     |  C  |  C  |  A  |  A  |  B  |  D  |  C  |  D  |  C  |  D  |   6/10   |  19/30   |
| Background-House2313 |     |     |  A  |     |  B  |     |     |     |     |     |   1/2    |   1/2    |
|     Bukowskified     |  C  |  B  |  D  |  A  |  B  |  C  |  C  |  B  |  C  |  C  |   6/10   |  15/27   |
|  CharlesDickensABox  |  C  |  B  |     |  A  |  D  |  D  |  C  |  B  |  C  |  A  |   9/9    |  18/20   |
|        emacs83       |     |     |     |  A  |  B  |     |     |     |     |     |   1/2    |   1/2    |
|        giglia        |  C  |     |     |     |  D  |     |     |     |     |     |   2/2    |   8/9    |
|       homininet      |  C  |  D  |  A  |     |     |     |     |     |     |     |   2/3    |   4/6    |
|     hufflepuffin9    |  C  |  B  |  A  |     |     |     |  C  |     |     |     |   4/4    |   5/5    |
|    Hungry-Back7489   |     |     |     |     |     |     |  C  |  B  |     |     |   2/2    |   2/2    |
|   its_sandwich_time  |  C  |  B  |  A  |  A  |  D  |  D  |  C  |  B  |  C  |  A  |  10/10   |  17/20   |
|     JagerVanKaas     |  C  |  B  |  A  |  A  |  D  |  D  |  C  |  D  |  C  |  A  |   9/10   |  22/24   |
|        jxb1978       |  D  |     |  A  |     |     |     |     |     |     |     |   1/2    |   1/2    |
|    ModestPolarBear   |     |     |     |     |     |  D  |  C  |     |     |  A  |   3/3    |   3/3    |
|      ocher_stone     |     |     |     |     |  D  |  D  |  C  |     |     |     |   3/3    |   5/5    |
|      Oddly_Todd      |  D  |  B  |  A  |  A  |  D  |  C  |     |     |     |     |   4/6    |   5/8    |
|     PlanetStarbux    |  C  |     |     |     |     |     |     |     |  C  |     |   2/2    |   3/3    |
|  RestaurantNovel8927 |  D  |  B  |  A  |  A  |  D  |  D  |  C  |  B  |  C  |  A  |   9/10   |  13/14   |
|       TheoCaro       |     |     |     |     |     |     |  C  |     |     |  C  |   1/2    |   1/2    |
|      yossi_peti      |     |     |     |     |     |     |  C  |  B  |  C  |     |   3/3    |   4/5    |
|       ansible47      |  D  |     |     |     |     |     |     |     |     |     |   0/1    |   1/3    |
|        arui091       |  A  |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|      Brass_Lion      |     |  B  |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|     bryanrgillis     |     |  B  |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|       Cahootie       |     |     |     |     |  B  |     |     |     |     |     |   0/1    |   0/1    |
| Careful_Educator_474 |     |     |     |     |  B  |     |     |     |     |     |   0/1    |   0/1    |
|       Da_Bullss      |     |     |     |     |     |  C  |     |     |     |     |   0/1    |   1/2    |
|        Eldias        |  B  |     |     |     |     |     |     |     |     |     |   0/1    |   6/7    |
|       emillynge      |     |     |  A  |     |     |     |     |     |     |     |   1/1    |   1/1    |
|    GoblinLapidary    |     |     |     |     |     |     |     |     |     |  D  |   0/1    |   0/1    |
|        goibnu        |  D  |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|     holierthanmao    |     |     |     |     |     |     |     |  D  |     |     |   0/1    |   0/1    |
|      IMM_Austin      |     |     |     |     |     |     |     |  B  |     |     |   1/1    |   1/1    |
|       jimillett      |  C  |     |     |     |     |     |     |     |     |     |   1/1    |   3/3    |
