 ________________________________________________________________________________________________________ 
|    Username / Q#->   |  56 |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 | Last 10  |  Total   |
|--------------------------------------------------------------------------------------------------------|
|    Correct Answer    |  B  |  D  |  B  |  B  |  A  |  D  |  B  |  B  |  A  |  B  |          |          |
|--------------------------------------------------------------------------------------------------------|
|    NegatronThomas    |  B  |  D  |  B  |  A  |  A  |  D  |  D  |  A  |  D  |  B  |   6/10   |  37/61   |
|  ThomasSecondChance  |  C  |  B  |  C  |  B  |  B  |  C  |  B  |  B  |  A  |  D  |   4/10   |  10/38   |
|      1Blackfaer      |     |     |     |     |     |     |  B  |     |  A  |  B  |   3/3    |   4/4    |
|     Apprentice57     |  B  |  D  |  A  |  B  |  A  |  D  |  B  |  B  |  D  |  C  |   7/10   |  32/53   |
|     Bukowskified     |  A  |  D  |  B  |  B  |  A  |  A  |  D  |  A  |  D  |  B  |   5/10   |  26/50   |
|  CharlesDickensABox  |  B  |     |     |  B  |     |     |     |     |     |     |   2/2    |  26/30   |
|      chayashida      |     |  D  |  B  |     |  A  |  D  |  B  |  A  |     |     |   5/6    |   6/8    |
|        chupa71       |     |     |     |  A  |  A  |     |     |     |     |     |   1/2    |   1/2    |
|        Eldias        |  B  |  D  |     |     |     |     |  B  |  D  |     |     |   3/4    |  15/20   |
|     fckinsurance     |     |     |     |     |  A  |  D  |  B  |     |     |  B  |   4/4    |   4/4    |
|   its_sandwich_time  |  B  |  D  |  B  |  B  |  D  |  C  |  B  |  B  |  A  |  B  |   8/10   |  33/42   |
|       jenjen047      |  A  |     |  B  |     |     |     |     |     |     |     |   1/2    |   1/2    |
|       MegaTrain      |     |  D  |     |     |     |     |     |  B  |     |     |   2/2    |   4/4    |
|    ninetyfourtales   |  B  |     |  C  |     |     |     |     |     |     |     |   1/2    |   1/2    |
|     takethebisque    |  B  |  D  |  B  |     |     |  D  |  B  |     |     |     |   5/5    |   7/7    |
|       TheoCaro       |     |     |     |     |     |  D  |  B  |     |     |     |   2/2    |   4/5    |
|   1Negative_Person   |     |     |  B  |     |     |     |     |     |     |     |   1/1    |   1/2    |
|         aspz         |     |     |  B  |     |     |     |     |     |     |     |   1/1    |   1/1    |
|   Cultural_Boat4007  |     |     |     |     |     |     |     |  B  |     |     |   1/1    |   1/1    |
|        Exelus        |     |  A  |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|       freakers       |     |     |     |     |  A  |     |     |     |     |     |   1/1    |   2/2    |
|        giglia        |     |     |     |     |     |  A  |     |     |     |     |   0/1    |   8/10   |
|     hufflepuffin9    |     |     |     |     |  D  |     |     |     |     |     |   0/1    |   6/8    |
|      jasonrennie     |     |     |     |     |     |     |  A  |     |     |     |   0/1    |   1/2    |
|   NotmyrealNameJohn  |     |     |     |     |     |     |     |  B  |     |     |   1/1    |   1/1    |
|   NotmyRealNameJohn  |     |     |     |     |     |     |     |     |  A  |     |   1/1    |   1/1    |
|      p8ntballnxj     |     |     |     |  B  |     |     |     |     |     |     |   1/1    |   1/1    |
|    RebelStrategist   |  A  |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|      SenorGuero      |     |     |     |     |  A  |     |     |     |     |     |   1/1    |   1/2    |
|      Shadowfalx      |  A  |     |     |     |     |     |     |     |     |     |   0/1    |   1/3    |
|   ShamelessAardvark  |  B  |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|   Skeptical_Monkie   |     |     |     |     |     |     |     |     |  A  |     |   1/1    |   1/1    |
|  SleepytimeTeaBear01 |     |     |     |  B  |     |     |     |     |     |     |   1/1    |   1/1    |
|     vanburen1845     |     |     |     |     |  D  |     |     |     |     |     |   0/1    |   0/1    |
|      wrosecrans      |     |     |     |     |     |     |     |     |  A  |     |   1/1    |   1/1    |
|--------------------------------------------------------------------------------------------------------|
|        Total:        | 8/12| 8/9 | 8/10| 6/8 | 8/11| 6/9 | 8/11| 5/9 | 5/8 | 5/6 |  67/93   | 230/335  |
|--------------------------------------------------------------------------------------------------------|

