 ________________________________________________________________________________________________________ 
|    Username / Q#->   |  57 |  58 |  59 |  60 |  61 |  62 |  63 |  64 |  65 |  66 | Last 10  |  Total   |
|--------------------------------------------------------------------------------------------------------|
|    Correct Answer    |  D  |  B  |  B  |  A  |  D  |  B  |  B  |  A  |  B  |  B  |          |          |
|--------------------------------------------------------------------------------------------------------|
|    NegatronThomas    |  D  |  B  |  A  |  A  |  D  |  D  |  A  |  D  |  B  |  C  |   5/10   |  37/62   |
|  ThomasSecondChance  |  B  |  C  |  B  |  B  |  C  |  B  |  B  |  A  |  D  |  B  |   5/10   |  11/39   |
|      1Blackfaer      |     |     |     |     |     |  B  |     |  A  |  B  |     |   3/3    |   4/4    |
|     Apprentice57     |  D  |  A  |  B  |  A  |  D  |  B  |  B  |  D  |  C  |  B  |   7/10   |  33/54   |
|     Bukowskified     |  D  |  B  |  B  |  A  |  A  |  D  |  A  |  D  |  B  |     |   5/9    |  26/50   |
|      chayashida      |  D  |  B  |     |  A  |  D  |  B  |  A  |     |     |     |   5/6    |   6/8    |
|        chupa71       |     |     |  A  |  A  |     |     |     |     |     |     |   1/2    |   1/2    |
|        Eldias        |  D  |     |     |     |     |  B  |  D  |     |     |     |   2/3    |  15/20   |
|     fckinsurance     |     |     |     |  A  |  D  |  B  |     |     |  B  |     |   4/4    |   4/4    |
|   its_sandwich_time  |  D  |  B  |  B  |  D  |  C  |  B  |  B  |  A  |  B  |  B  |   8/10   |  34/43   |
|       MegaTrain      |  D  |     |     |     |     |     |  B  |     |     |     |   2/2    |   4/4    |
|     takethebisque    |  D  |  B  |     |     |  D  |  B  |     |     |     |     |   4/4    |   7/7    |
|       TheoCaro       |     |     |     |     |  D  |  B  |     |     |     |     |   2/2    |   4/5    |
|   1Negative_Person   |     |  B  |     |     |     |     |     |     |     |     |   1/1    |   1/2    |
|         aspz         |     |  B  |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|  CharlesDickensABox  |     |     |  B  |     |     |     |     |     |     |     |   1/1    |  26/30   |
|   Cultural_Boat4007  |     |     |     |     |     |     |  B  |     |     |     |   1/1    |   1/1    |
|        Exelus        |  A  |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|       freakers       |     |     |     |  A  |     |     |     |     |     |     |   1/1    |   2/2    |
|        giglia        |     |     |     |     |  A  |     |     |     |     |     |   0/1    |   8/10   |
|     hufflepuffin9    |     |     |     |  D  |     |     |     |     |     |     |   0/1    |   6/8    |
|      jasonrennie     |     |     |     |     |     |  A  |     |     |     |     |   0/1    |   1/2    |
|       jenjen047      |     |  B  |     |     |     |     |     |     |     |     |   1/1    |   1/2    |
|    ninetyfourtales   |     |  C  |     |     |     |     |     |     |     |     |   0/1    |   1/2    |
|   NotmyrealNameJohn  |     |     |     |     |     |     |  B  |     |     |     |   1/1    |   1/1    |
|   NotmyRealNameJohn  |     |     |     |     |     |     |     |  A  |     |     |   1/1    |   1/1    |
|      p8ntballnxj     |     |     |  B  |     |     |     |     |     |     |     |   1/1    |   1/1    |
| Professional_Law4639 |     |     |     |     |     |     |     |     |     |  B  |   1/1    |   1/1    |
|        rctbob        |     |     |     |     |     |     |     |     |     |  B  |   1/1    |   2/2    |
|      SenorGuero      |     |     |     |  A  |     |     |     |     |     |     |   1/1    |   1/2    |
|   Skeptical_Monkie   |     |     |     |     |     |     |     |  A  |     |     |   1/1    |   1/1    |
|  SleepytimeTeaBear01 |     |     |  B  |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      TheButtonz      |     |     |     |     |     |     |     |     |     |  D  |   0/1    |   0/1    |
|     vanburen1845     |     |     |     |  D  |     |     |     |     |     |     |   0/1    |   0/1    |
|      wrosecrans      |     |     |     |     |     |     |     |  A  |     |     |   1/1    |   1/1    |
|--------------------------------------------------------------------------------------------------------|
|        Total:        | 8/9 | 8/10| 6/8 | 8/11| 6/9 | 8/11| 5/9 | 5/8 | 5/6 | 4/6 |  63/87   | 233/337  |
|--------------------------------------------------------------------------------------------------------|

